Time,L_FTC,,,L_FCC,,,L_FM1,,,L_FM2,,,L_FM5,,,R_FTC,,,R_FCC,,,R_FM1,,,R_FM2,,,R_FM5,,,L_knee,,,R_knee,,,L_ankle,,,R_ankle,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.31,1066.53,70.8001,904.004,1068.43,219.507,25.0858,863.198,234.319,18.7205,863.227,172.681,37.693,920.955,125.989,25.8788,1123.78,414.835,898.416,1437.41,284.686,259.143,1353.4,298.869,78.7299,1362.43,351.791,81.1434,1409.87,389.922,127.366,977.323,174.164,487.83,1046.96,359.811,472.539,1004.93,220.153,82.2736,1362.3,313.902,235.674
0.32,1059.34,70.0443,904.59,1068.55,219.51,25.132,863.252,234.239,18.7106,863.304,172.562,37.5896,921.065,125.817,25.7299,1115.13,414.399,899.525,1419.18,283.695,261.18,1333.9,301.371,80.853,1343.39,353.932,84.0974,1390.98,390.938,131.525,974.769,173.438,487.615,1029.54,360.312,474.622,1004.92,220.114,82.2995,1343.94,313.137,238.39
0.33,1052.26,69.327,905.129,1068.66,219.506,25.2115,863.301,234.162,18.7139,863.376,172.442,37.5061,921.168,125.633,25.5986,1106.44,414.058,900.782,1400.6,282.986,261.627,1312.69,303.639,82.3673,1322.43,355.909,86.5285,1370.4,392.027,134.435,972.384,172.712,487.395,1012.42,360.708,476.937,1004.91,220.073,82.3504,1325.07,312.444,240.13
0.34,1045.29,68.6479,905.61,1068.74,219.499,25.3225,863.344,234.089,18.7315,863.444,172.322,37.4433,921.262,125.448,25.4855,1097.68,413.796,902.17,1381.68,282.597,260.508,1289.86,305.628,83.2686,1299.69,357.674,88.3783,1348.25,393.16,136.036,970.13,171.997,487.165,995.616,361.006,479.431,1004.91,220.039,82.4203,1305.7,311.869,240.85
0.35,1038.42,68.0086,906.022,1068.81,219.496,25.4605,863.382,234.018,18.7624,863.508,172.203,37.399,921.35,125.268,25.3887,1088.85,413.597,903.663,1362.41,282.543,257.879,1265.54,307.321,83.5683,1275.33,359.2,89.6092,1324.68,394.304,136.322,967.967,171.305,486.923,979.12,361.212,482.05,1004.91,220.017,82.5027,1285.87,311.446,240.528
0.36,1031.65,67.4123,906.356,1068.86,219.504,25.6198,863.414,233.949,18.8042,863.57,172.085,37.3687,921.432,125.097,25.305,1079.97,413.444,905.223,1342.77,282.813,253.825,1239.87,308.728,83.2905,1249.54,360.484,90.2052,1299.86,395.433,135.337,965.861,170.647,486.662,962.932,361.326,484.744,1004.91,220.013,82.591,1265.59,311.195,239.164
0.37,1024.99,66.8635,906.603,1068.88,219.533,25.793,863.44,233.879,18.8533,863.631,171.967,37.3469,921.511,124.94,25.2308,1071.04,413.323,906.81,1322.73,283.377,248.454,1213.03,309.88,82.4706,1222.54,361.545,90.1727,1273.98,396.523,133.168,963.774,170.034,486.379,947.049,361.35,487.463,1004.91,220.029,82.6784,1244.88,311.125,236.783
0.38,1018.42,66.3679,906.755,1068.89,219.589,25.9728,863.46,233.808,18.9055,863.691,171.849,37.3281,921.588,124.799,25.1632,1062.07,413.224,908.377,1302.25,284.189,241.887,1185.17,310.825,81.1535,1194.55,362.419,89.5391,1247.21,397.562,129.938,961.677,169.474,486.068,931.471,361.282,490.165,1004.91,220.07,82.7588,1223.72,311.228,233.427
0.39,1011.94,65.9313,906.807,1068.87,219.678,26.1521,863.472,233.734,18.9572,863.75,171.731,37.3073,921.665,124.675,25.1,1053.1,413.139,909.879,1281.27,285.193,234.252,1156.47,311.622,79.3924,1165.76,363.156,88.3497,1219.7,398.545,125.795,959.54,168.977,485.726,916.199,361.117,492.811,1004.9,220.136,82.8272,1202.11,311.488,229.158
0.4,1005.56,65.5593,906.757,1068.84,219.803,26.3249,863.473,233.658,19.0053,863.808,171.615,37.281,921.743,124.568,25.0404,1044.15,413.064,911.275,1259.73,286.334,225.682,1127.07,312.333,77.2475,1136.36,363.808,86.6646,1191.6,399.476,120.904,957.34,168.547,485.35,901.237,360.851,495.37,1004.87,220.23,82.8795,1180.04,311.881,224.055
0.41,999.246,65.2559,906.603,1068.8,219.966,26.4872,863.463,233.58,19.0478,863.862,171.503,37.2469,921.823,124.48,24.9845,1035.24,412.997,912.527,1237.6,287.56,216.309,1097.11,313.011,74.785,1106.51,364.423,84.5544,1163,400.365,115.431,955.057,168.19,484.939,886.591,360.48,497.816,1004.84,220.351,82.9135,1157.49,312.376,218.208
0.42,993.001,65.023,906.348,1068.76,220.165,26.6369,863.439,233.501,19.0842,863.91,171.397,37.2045,921.904,124.41,24.9331,1026.42,412.94,913.604,1214.82,288.828,206.262,1066.71,313.701,72.0754,1076.31,365.043,82.0966,1134,401.224,109.541,952.676,167.907,484.493,872.268,359.999,500.126,1004.78,220.499,82.9289,1134.43,312.941,211.719
0.43,986.806,64.8594,905.997,1068.71,220.393,26.7739,863.399,233.424,19.1148,863.95,171.3,37.1545,921.985,124.358,24.8876,1017.71,412.893,914.485,1191.37,290.106,195.665,1035.96,314.428,69.1922,1045.86,365.693,79.3724,1104.63,402.065,103.382,950.187,167.698,484.015,858.281,359.406,502.284,1004.71,220.671,82.927,1110.85,313.548,204.696
0.44,980.642,64.7609,905.559,1068.67,220.642,26.9001,863.343,233.351,19.1412,863.979,171.216,37.0986,922.064,124.322,24.8492,1009.12,412.857,915.157,1167.23,291.372,184.637,1004.93,315.201,66.2105,1015.21,366.38,76.4644,1074.93,402.895,97.09,947.586,167.558,483.509,844.64,358.699,504.274,1004.61,220.864,82.9111,1086.75,314.167,197.252
0.45,974.491,64.7194,905.045,1068.64,220.903,27.0191,863.271,233.285,19.1654,863.994,171.146,37.0395,922.138,124.302,24.8185,1000.67,412.833,915.618,1142.37,292.615,173.292,973.693,316.007,63.2059,984.393,367.098,73.4552,1044.91,403.717,90.7819,944.872,167.481,482.979,831.36,357.879,506.084,1004.48,221.074,82.8856,1062.1,314.776,189.502
0.46,968.333,64.7243,904.467,1068.63,221.164,27.1361,863.186,233.228,19.1894,863.992,171.094,36.9799,922.205,124.295,24.7955,992.361,412.82,915.872,1116.8,293.827,161.742,942.276,316.819,60.254,953.429,367.821,70.4271,1014.56,404.524,84.5585,942.048,167.46,482.432,818.456,356.947,507.701,1004.32,221.297,82.8559,1036.93,315.359,181.56
0.47,962.151,64.7628,903.838,1068.62,221.415,27.257,863.09,233.183,19.2149,863.972,171.058,36.9225,922.263,124.297,24.7792,984.173,412.815,915.931,1090.52,295.006,150.097,910.718,317.598,57.4296,922.321,368.515,67.4617,983.879,405.304,78.5069,939.122,167.486,481.873,805.943,355.908,509.113,1004.13,221.525,82.8281,1011.25,315.901,173.538
0.48,955.928,64.8208,903.17,1068.62,221.646,27.3878,862.989,233.151,19.243,863.934,171.038,36.8699,922.309,124.305,24.7679,976.089,412.813,915.815,1063.56,296.148,138.464,879.049,318.296,54.8077,891.073,369.137,64.6405,952.877,406.036,72.7039,936.103,167.546,481.306,793.835,354.768,510.305,1003.91,221.753,82.8076,985.084,316.397,165.544
0.49,949.651,64.8849,902.475,1068.63,221.85,27.535,862.889,233.133,19.2735,863.88,171.031,36.8237,922.344,124.314,24.7591,968.081,412.807,915.542,1035.94,297.247,126.955,847.3,318.864,52.4628,859.692,369.641,62.0446,921.563,406.696,67.2203,933,167.632,480.736,782.145,353.534,511.262,1003.67,221.975,82.7999,958.481,316.839,157.68
0.5,943.307,64.943,901.76,1068.64,222.023,27.7044,862.795,233.126,19.3058,863.811,171.033,36.7848,922.366,124.32,24.7501,960.114,412.793,915.132,1007.71,298.293,115.682,815.508,319.26,50.4698,828.201,369.988,59.7554,889.965,407.259,62.1235,929.822,167.732,480.165,770.885,352.217,511.968,1003.4,222.186,82.8097,931.492,317.228,150.047
0.51,936.891,64.9857,901.031,1068.65,222.167,27.9016,862.713,233.129,19.338,863.732,171.041,36.7535,922.378,124.321,24.7385,952.149,412.763,914.602,978.934,299.275,104.761,783.72,319.448,48.9039,796.637,370.144,57.8537,858.127,407.7,57.4803,926.579,167.838,479.594,760.064,350.828,512.406,1003.11,222.382,82.8408,904.181,317.562,142.736
0.52,930.398,65.0065,900.289,1068.66,222.288,28.132,862.647,233.14,19.3681,863.647,171.05,36.729,922.383,124.315,24.7228,944.15,412.712,913.964,949.676,300.178,94.3079,751.997,319.407,47.8399,765.055,370.085,56.4187,826.117,407.999,53.3577,923.273,167.944,479.023,749.689,349.382,512.559,1002.82,222.565,82.897,876.622,317.843,135.837
0.53,923.826,65.0026,899.533,1068.67,222.396,28.4011,862.597,233.153,19.3941,863.56,171.057,36.7098,922.386,124.303,24.7026,936.085,412.636,913.224,920.028,300.989,84.4375,720.412,319.128,47.3501,733.533,369.805,55.5262,794.021,408.14,49.8217,919.907,168.044,478.452,739.761,347.891,512.415,1002.52,222.737,82.9814,848.903,318.072,129.432
0.54,917.177,64.9747,898.758,1068.67,222.507,28.7148,862.563,233.166,19.4139,863.478,171.059,36.6938,922.392,124.287,24.6787,927.924,412.531,912.384,890.099,301.697,75.2582,689.054,318.62,47.5016,702.165,369.308,55.2449,761.944,408.12,46.9352,916.476,168.139,477.878,730.276,346.374,511.964,1002.21,222.905,83.0975,821.119,318.253,123.598
0.55,910.455,64.9265,897.959,1068.66,222.64,29.0793,862.541,233.175,19.426,863.402,171.056,36.6785,922.408,124.273,24.6538,919.647,412.4,911.44,860.015,302.294,66.8674,658.029,317.903,48.3514,671.067,368.612,55.6325,730.01,407.942,44.7541,912.974,168.228,477.3,721.227,344.848,511.204,1001.89,223.081,83.249,793.377,318.389,118.401
0.56,903.665,64.8643,897.13,1068.64,222.818,29.5018,862.525,233.176,19.4293,863.339,171.048,36.6611,922.442,124.269,24.6314,911.242,412.245,910.383,829.922,302.777,59.3454,627.456,317.01,49.9406,640.367,367.748,56.7299,698.359,407.617,43.3212,909.386,168.315,476.716,712.596,343.33,510.14,1001.57,223.276,83.4398,765.795,318.485,113.897
0.57,896.813,64.7961,896.267,1068.61,223.061,29.99,862.51,233.168,19.4233,863.289,171.038,36.639,922.5,124.285,24.6162,902.704,412.072,909.205,799.982,303.146,52.7497,597.465,315.981,52.2877,610.208,366.753,58.5553,667.145,407.167,42.661,905.696,168.404,476.124,704.36,341.84,508.788,1001.23,223.505,83.6743,738.503,318.544,110.122
0.58,889.903,64.7315,895.366,1068.56,223.39,30.5525,862.489,233.15,19.4079,863.255,171.027,36.6096,922.588,124.329,24.613,894.034,411.889,907.898,770.373,303.406,47.1101,568.199,314.863,55.3816,580.744,365.67,61.0981,636.537,406.617,42.7732,901.885,168.502,475.523,696.484,340.394,507.172,1000.86,223.78,83.9572,711.641,318.569,107.097
0.59,882.943,64.6804,894.428,1068.49,223.818,31.1984,862.456,233.124,19.3835,863.239,171.018,36.5711,922.71,124.413,24.6259,885.239,411.707,906.46,741.289,303.561,42.4254,539.806,313.701,59.1757,552.134,364.543,64.3138,606.711,405.995,43.6273,897.931,168.612,474.912,688.924,339.011,505.327,1000.45,224.111,84.293,685.357,318.563,104.816
